y,x,,
1109425.48892,3105206.61486,,
1109561.0385,3105173.79528,,
1109642.5591,3105157.20381,,
1109758.33867,3105142.29954,,
1109820.51089,3105135.05829,,
1109879.1729,3105129.36136,,
1109999.5855,3105124.98838,,
1110062.88032,3105129.82281,,
1110137.5753,3105147.23917,,
1110198.65108,3105162.2676,,
1110291.76688,3105189.17731,,
1110350.79236,3105210.97369,,
1110387.46502,3105233.38642,,
1110423.80022,3105262.65142,,
1110457.91623,3105302.11045,,
1110484.67414,3105351.51042,,
1110492.4207,3105403.4085,,
1110488.3961,3105519.98109,,
1110470.92075,3105630.73948,,
1110435.90473,3105764.13495,,
1110387.99796,3105954.64319,,
1110323.16592,3106190.14228,,
1110262.66247,3106372.62062,,
1110255.18539,3106454.67847,,
1110269.1921,3106518.90547,,
1110285.84014,3106564.37328,,
1110332.64613,3106625.06474,,
1110375.07288,3106670.08557,,
1110416.79955,3106694.46535,,
1110486.88689,3106735.69754,,
1110579.74923,3106767.74868,,
1110678.42586,3106786.3486,,
1110743.68737,3106786.12981,,
1110942.95786,3106749.58337,,
1111049.72823,3106708.47897,,
1111200.9269,3106636.936,,
1111342.43877,3106552.89475,,
1111438.31599,3106488.92892,,
1111628.58586,3106321.4269,,
1111685.06447,3106255.51947,,
1111765.92185,3106147.88169,,
1111825.2949,3106058.07505,,
1111942.66535,3105871.52454,,
1112011.08421,3105737.51436,,
1112081.33386,3105531.46928,,
1112089.40068,3105437.41743,,
1112085.36648,3105310.14166,,
1112077.56855,3105189.54958,,
1112048.73381,3105112.57017,,
1111998.81113,3105010.51072,,
1111912.63654,3104877.47285,,
1111821.39287,3104749.99097,,
1111735.8124,3104627.64753,,
1111661.66384,3104517.92129,,
1111601.94411,3104408.90575,,
1111560.98916,3104310.4575,,
1111511.59893,3104187.48616,,
1111502.71886,3104065.6376,,
1111514.09905,3103939.122,,
1111549.51894,3103777.72775,,
1111583.61549,3103678.08896,,
1111637.17154,3103601.73218,,
1111712.74348,3103531.61079,,
1111837.71293,3103434.72759,,
1111944.65138,3103390.19131,,
1112022.45286,3103359.21278,,
1112087.6203,3103357.59894,,
1112166.98009,3103361.50532,,
1112231.79252,3103367.10644,,
1112308.2741,3103380.51442,,
1112370.08988,3103398.02215,,
1112428.90894,3103427.4365,,
1112499.27877,3103467.06278,,
1112578.55774,3103521.59265,,
1112821.75521,3103714.12541,,
1112873.20152,3103755.48296,,
1112989.53782,3103840.76789,,
1113086.75362,3103922.70092,,
1113188.77921,3104004.87098,,
1113274.32592,3104078.99741,,
1113378.51966,3104166.09638,,
1113478.25892,3104245.74371,,
1113543.3459,3104294.75474,,
1113597.35579,3104323.93354,,
1113652.17769,3104353.49892,,
1113832.35236,3104425.91051,,
1114050.55199,3104493.3256,,
1114230.19552,3104541.66944,,
1114438.5982,3104563.95261,,
1114620.07271,3104540.25957,,
1114734.37462,3104485.78161,,
1114836.93824,3104425.57349,,
1114916.97894,3104369.40818,,
1114979.75429,3104302.79669,,
1115001.95431,3104243.61695,,
1115016.70262,3104188.89212,,
1115029.51961,3104124.42851,,
1115033.66407,3104040.2506,,
1115029.13592,3103936.35841,,
1115016.80076,3103844.13645,,
1115003.75507,3103766.34503,,
1114994.92718,3103700.81583,,
1114981.52614,3103630.2397,,
1114966.19367,3103549.92489,,
1114947.66806,3103461.01475,,
1114935.52845,3103389.29537,,
1114920.56947,3103325.87541,,
1114902.2398,3103257.46776,,
1114874.27165,3103164.47667,,
1114855.94182,3103096.06911,,
1114819.91132,3102995.44862,,
1114804.22302,3102922.34937,,
1114790.93959,3102849.36851,,
1114775.48788,3102771.45916,,
1114764.49086,3102701.0018,,
1114759.99841,3102645.32997,,
1114751.4062,3102574.99099,,
1114756.53339,3102519.79259,,
1114762.37067,3102450.16372,,
1114774.83092,3102392.91526,,
1114791.39089,3102350.33393,,
1114808.18754,3102302.94243,,
1114830.14908,3102248.57234,,
1114852.11059,3102194.20222,,
1114868.55212,3102154.02588,,
1114897.72839,3102100.01071,,
1114921.62137,3102055.37916,,
1114950.56091,3102006.17407,,
1114982.02371,3101954.68219,,
1115015.89142,3101903.30859,,
1115062.84887,3101830.88078,,
1115109.09628,3101772.88341,,
1115142.13561,3101738.34527,,
1115185.62305,3101687.44473,,
1115248.94176,3101625.46521,,
1115317.54369,3101554.10182,,
1115405.14864,3101488.49502,,
1115513.29669,3101414.61001,,
1115628.93133,3101350.02669,,
1115713.65825,3101293.92147,,
1115763.53244,3101260.21095,,
1115845.38122,3101213.60766,,
1115931.92172,3101169.646,,
1116030.48721,3101126.27575,,
1116139.146,3101073.75807,,
1116237.47511,3101035.19781,,
1116320.90114,3101005.54818,,
1116418.99386,3100971.79799,,
1116497.96501,3100934.69619,,
1116608.67449,3100889.51158,,
1116737.20458,3100811.33883,,
1116918.43197,3100688.01507,,
1116986.5644,3100629.54065,,
1117028.49431,3100580.08166,,
